temperature,pressure,vibration,runtime_hours,machine_age(in_years),failure
82,28,65,925,4,0
87,37,75,1463,5,1
91,36,71,954,2,1
90,28,78,1045,10,1
79,26,60,1090,9,0
78,40,58,1051,9,1
84,33,61,868,0,0
82,34,20,789,5,0
75,34,59,1286,5,1
85,34,84,1013,12,1
90,29,52,1080,2,0
82,42,41,644,7,0
94,41,71,1093,5,1
85,36,104,1250,8,1
80,19,55,1337,4,0
82,35,71,1748,3,1
76,35,55,975,7,0
72,38,42,1095,7,0
85,38,56,729,5,0
74,42,56,595,8,0
78,33,57,1413,8,0
80,20,44,645,8,0
84,46,41,1194,6,0
85,47,39,1372,9,0
81,38,62,1704,10,1
64,25,63,1405,2,0
79,40,79,1472,5,1
74,34,78,1358,6,1
80,27,49,1487,5,0
89,39,53,889,6,0
88,51,51,1859,5,1
83,36,40,925,0,0
85,35,54,909,3,0
68,28,38,1575,0,0
83,32,33,1912,11,1
86,46,75,1416,5,1
75,33,62,1411,2,0
84,31,49,919,0,0
78,32,71,1025,9,0
90,37,72,784,7,1
90,28,85,859,0,0
76,38,55,1711,4,1
94,30,65,654,6,0
79,39,56,1422,5,0
99,45,53,1519,6,1
77,32,79,1059,7,1
82,37,70,1191,6,1
83,40,45,200,2,0
75,39,63,1183,9,1
66,38,73,810,6,0
74,43,60,356,5,0
90,20,61,1267,6,1
78,34,101,816,7,1
78,29,49,1064,2,0
94,37,52,1090,5,1
85,43,87,1335,6,1
87,36,65,1033,7,1
88,31,60,999,11,1
73,39,42,953,5,0
82,49,68,1037,7,1
82,34,72,1420,7,1
80,34,81,1400,5,1
72,38,84,948,7,1
85,34,69,1095,4,0
67,41,52,1029,12,0
73,28,43,721,10,0
74,32,88,1829,6,1
77,20,54,856,6,0
88,35,83,1316,5,1
95,36,75,1138,7,1
96,30,59,1451,0,1
88,30,86,314,5,0
85,37,62,1357,5,1
61,51,84,1299,6,1
91,27,59,225,6,0
104,38,58,1204,4,1
85,34,62,1326,8,1
83,19,98,708,11,1
87,40,70,936,7,1
87,36,63,1034,7,1
82,30,37,837,6,0
78,34,52,992,7,0
84,31,42,1718,3,1
69,43,29,1314,4,0
65,30,49,1198,6,0
93,25,95,1406,8,1
77,34,82,838,7,0
87,30,80,621,6,1
94,46,55,988,0,0
91,34,53,1174,7,1
76,43,36,1199,7,0
84,34,78,955,10,1
71,26,58,503,10,0
80,49,59,1245,3,1
90,31,74,808,6,0
81,32,45,859,3,0
57,43,80,1382,3,1
62,43,36,1102,8,0
74,38,37,1653,6,0
92,38,79,1063,9,1
83,47,68,1079,2,1
82,45,66,1019,6,1
70,41,30,1119,4,0
82,36,76,995,2,1
62,22,86,1081,0,0
84,37,57,981,9,0
91,32,55,1263,3,1
74,46,92,1372,3,1
90,34,50,963,7,1
75,34,27,981,7,0
82,33,72,1293,6,0
80,39,50,1671,3,0
82,33,75,869,12,1
94,39,52,1059,9,1
89,44,58,1223,11,1
75,36,56,1959,1,1
57,40,51,798,5,0
89,40,64,1807,3,1
88,40,87,1456,2,1
82,26,46,1217,7,0
76,31,69,512,8,0
95,38,53,856,7,0
66,38,61,1039,12,0
74,36,77,1445,10,1
68,20,63,1012,3,0
84,29,90,1322,7,1
77,23,38,1185,7,0
99,45,33,950,8,1
81,25,58,1253,8,1
79,36,67,1297,11,0
86,40,80,832,9,1
75,30,51,1153,10,0
72,27,62,1771,7,0
86,34,47,1457,1,1
77,21,78,1759,9,1
89,34,78,1145,3,1
84,31,67,943,4,0
82,37,61,831,4,0
82,22,62,924,5,0
80,39,45,1988,7,0
84,41,36,680,9,0
78,29,76,675,9,0
64,37,70,520,8,0
82,34,68,1108,6,1
77,44,51,1104,10,1
69,39,43,1042,5,0
88,34,75,1228,7,0
78,24,67,1124,1,0
66,27,58,706,1,0
80,32,83,1034,5,1
75,30,90,1564,8,1
66,31,89,860,8,1
84,42,55,1375,0,0
72,36,72,1007,9,1
87,41,78,1356,3,1
73,35,39,1161,10,0
89,34,106,980,10,1
85,31,53,1002,3,0
82,28,77,1191,8,1
75,36,74,1223,7,0
89,43,83,1475,0,1
85,34,60,547,5,0
78,39,47,1105,2,0
86,29,63,1096,6,0
72,33,66,1132,7,0
70,35,44,767,6,0
80,36,84,774,9,0
82,35,28,1269,8,0
85,35,73,1182,8,1
82,33,82,1446,4,1
92,38,54,281,4,0
70,37,35,1528,6,0
86,32,60,1155,0,0
83,30,60,1328,10,0
93,30,56,1524,0,1
82,45,42,1428,9,0
84,37,110,1023,3,1
96,40,61,1006,1,0
88,40,53,1247,7,1
86,35,54,1187,9,1
78,37,72,1487,6,1
82,37,64,271,6,0
67,26,40,1183,2,0
74,37,55,1664,6,1
87,31,69,1379,3,1
66,30,55,1194,5,0
82,37,76,1466,6,1
81,52,68,730,9,1
84,24,79,1130,9,1
66,22,76,1315,8,0
64,35,71,1544,6,1
91,23,89,1053,1,0
82,34,39,999,10,0
85,22,37,989,4,0
95,38,49,1137,3,1
82,34,57,782,4,0
64,29,59,1267,3,0
78,42,32,1362,6,0
88,36,85,1537,4,1
77,39,63,1639,9,1
78,28,66,695,2,0
76,37,44,1399,4,1
94,28,58,796,0,1
92,49,55,838,6,1
65,40,67,1332,11,0
97,36,80,1053,4,1
74,41,64,1606,4,1
98,36,49,1006,4,0
70,34,68,1454,9,0
90,36,65,1289,9,1
76,24,48,1598,1,0
80,32,62,1194,7,0
89,36,33,1174,11,0
75,30,63,798,3,0
84,48,20,957,4,0
84,33,55,1025,2,0
91,36,75,562,4,1
93,47,53,1000,1,0
97,40,65,833,7,1
84,48,66,1097,4,1
85,36,58,1017,6,0
76,26,42,1825,4,0
74,20,42,746,4,0
70,27,49,651,12,0
79,36,69,587,3,0
82,40,79,1045,4,1
81,41,46,1348,4,1
86,27,51,1245,7,0
69,31,56,1235,3,0
96,38,86,1949,9,1
84,21,52,1639,8,0
90,29,79,1672,7,1
84,36,56,1194,3,0
73,36,57,1244,4,0
78,40,54,1640,0,0
53,35,59,956,2,0
83,33,44,1267,10,0
80,29,60,452,7,0
91,37,46,580,11,0
66,33,61,1002,7,0
80,39,31,1435,5,0
78,26,51,682,6,0
70,46,57,1349,6,1
68,30,54,1282,0,0
71,32,31,801,6,0
89,39,65,1096,9,1
89,39,37,1537,8,1
69,38,96,1726,3,1
80,31,84,1305,6,1
85,22,93,1404,6,1
84,34,62,455,8,0
68,39,30,1096,5,0
76,37,93,906,8,1
69,40,66,1189,0,1
90,32,93,1401,4,1
103,30,83,742,9,1
81,27,69,1424,3,1
63,38,46,767,10,0
88,36,48,437,4,0
94,34,59,1417,0,1
94,34,64,1639,8,1
82,33,61,1565,3,1
86,32,68,925,7,0
82,39,87,1284,10,1
87,30,94,635,7,1
89,44,35,1157,6,1
75,44,71,1592,7,1
76,45,79,1787,4,1
78,42,66,668,11,0
79,31,72,1056,13,1
83,40,52,1162,10,1
91,34,65,1238,2,1
70,35,61,1410,7,0
89,38,51,839,2,0
79,33,55,1209,3,0
56,35,70,784,5,0
78,39,58,1821,7,1
79,41,62,507,5,0
86,40,60,395,7,0
86,50,55,657,8,1
81,48,45,937,7,0
74,35,42,1158,7,0
89,36,66,1278,6,1
75,37,56,1123,12,1
71,39,42,1247,7,0
76,45,54,1226,9,1
76,31,70,449,3,0
80,31,72,717,3,0
77,34,36,1163,8,0
78,53,72,837,7,1
87,43,32,962,10,0
88,25,53,1094,4,0
86,36,78,1364,4,1
78,24,45,1459,8,0
75,37,78,1432,10,1
79,34,65,1056,1,0
80,43,95,2072,11,1
88,43,90,1219,0,1
79,45,70,1086,10,1
71,37,59,966,1,1
74,39,85,1374,5,1
96,42,69,1408,5,1
73,39,76,1148,6,1
70,30,72,1001,2,0
79,29,68,937,0,0
96,38,45,1426,3,1
82,25,79,1817,9,1
84,45,53,901,6,1
67,29,87,689,6,0
68,42,54,827,5,0
81,34,65,1395,6,1
77,26,89,854,8,0
84,37,70,1182,11,0
72,33,49,1545,5,1
90,27,80,795,5,1
93,42,62,1077,5,1
68,36,75,1093,9,0
83,34,56,1288,8,1
79,45,68,1348,3,1
93,26,89,538,8,1
83,44,63,1386,5,1
89,39,101,934,4,1
80,37,85,668,6,0
84,19,73,1126,7,0
99,38,65,1138,4,1
99,33,54,1448,3,1
66,45,75,850,12,1
84,34,64,1510,6,1
83,26,69,1277,7,1
72,31,83,941,7,0
74,32,56,1191,6,1
83,37,73,1321,4,0
89,33,29,1391,9,0
85,42,85,1128,10,1
77,39,42,1149,9,0
72,31,62,1490,3,0
63,47,69,1261,8,0
94,36,69,807,8,1
76,29,71,774,7,0
74,31,72,1258,2,0
84,43,98,1251,9,1
80,43,86,994,10,1
81,40,75,1275,5,1
87,29,32,1306,7,1
77,30,54,765,5,0
72,32,90,1712,8,1
80,44,28,953,4,0
82,35,55,1242,7,1
72,39,52,614,10,0
72,25,98,632,5,0
72,21,54,815,7,0
88,34,65,606,5,1
93,38,52,815,6,1
92,36,37,1109,5,0
73,37,64,968,2,1
75,34,50,1270,0,0
70,36,47,1296,10,0
97,37,60,964,9,1
77,33,51,774,7,0
81,27,56,1345,8,1
77,33,47,761,7,0
82,43,57,1180,6,1
72,20,66,1157,5,0
76,31,56,1366,9,0
73,35,77,629,5,1
61,26,59,1445,2,0
83,44,82,1410,6,1
87,34,66,1198,13,1
89,37,49,1116,9,0
94,30,84,1380,7,1
89,31,66,333,5,0
80,34,87,1501,6,1
86,32,89,997,8,1
76,31,54,1243,4,0
88,29,74,573,6,0
79,38,52,951,3,0
61,26,54,1194,6,0
81,42,49,519,5,0
82,37,94,1557,5,1
71,33,89,1403,4,1
85,38,88,1563,11,1
91,27,42,1329,6,0
71,34,73,1245,0,0
87,28,57,980,7,0
88,34,53,1181,4,0
73,31,61,1130,6,0
77,28,67,1631,10,1
72,28,65,768,4,0
76,36,46,1109,8,0
81,30,58,1101,8,1
91,27,76,1142,3,0
76,35,89,891,9,1
68,37,72,1292,6,1
54,34,55,1275,10,1
75,27,94,747,6,1
70,42,78,553,8,0
83,34,60,1321,5,0
83,43,41,764,13,1
67,34,31,1213,7,0
84,40,91,1022,9,1
79,24,80,1180,2,1
79,32,58,767,8,0
77,32,70,814,11,1
89,45,45,1354,9,1
86,31,82,292,1,0
83,27,48,1434,6,0
91,31,47,1311,8,1
81,30,85,1372,6,1
82,34,50,865,2,0
86,29,62,887,10,1
79,29,82,844,6,0
71,39,67,1053,5,0
96,21,83,1498,1,1
89,39,46,1414,2,0
70,40,62,1363,3,1
73,40,77,711,3,0
72,25,69,1684,6,0
68,26,65,652,6,0
84,34,58,1355,0,0
94,35,59,1257,0,1
84,25,56,694,5,0
94,41,74,783,8,1
77,45,45,791,0,0
83,31,62,743,7,0
73,32,70,1193,6,1
81,46,60,1430,2,0
90,37,75,785,9,1
87,37,52,1204,11,1
90,36,78,919,9,1
78,22,86,2009,0,1
89,28,53,1533,5,1
93,43,53,1393,6,1
86,28,37,1366,3,0
69,41,68,1383,3,1
83,39,99,812,3,1
83,29,58,1365,8,0
75,39,62,545,4,0
72,38,33,693,3,0
74,46,51,1184,8,0
91,36,78,1235,5,1
82,36,82,1041,8,1
95,28,79,1441,1,1
66,47,84,925,13,1
85,21,59,1552,9,0
95,35,56,1245,7,1
97,37,95,1230,4,1
76,37,50,866,8,0
95,37,62,693,7,0
90,34,62,1369,6,1
91,45,57,961,2,0
83,42,60,382,7,1
90,41,60,1240,7,1
89,50,68,964,7,1
76,31,61,1095,9,0
58,33,81,1059,12,0
91,36,59,438,10,0
90,27,61,1122,6,0
87,42,67,1422,5,1
78,32,38,937,7,0
78,35,52,1455,0,0
68,37,75,1115,9,1
95,35,69,1192,2,0
80,29,65,1239,7,1
88,37,70,968,6,1
78,28,45,1858,5,0
61,35,67,1287,4,0
88,32,53,946,7,0
92,38,70,1330,0,1
97,38,91,1223,3,1
80,33,42,1142,7,0
77,39,90,1135,5,1
82,39,53,1332,4,0
72,39,72,682,4,0
74,26,47,873,6,0
86,19,58,688,8,0
79,34,44,679,2,0
77,21,84,292,5,0
84,37,98,1027,7,1
78,25,54,959,3,0
102,37,58,746,7,1
79,28,84,989,2,0
94,22,50,1638,9,1
87,22,42,1388,4,0
89,36,75,366,4,0
84,22,64,1017,7,0
80,38,85,1499,4,1
81,36,63,1125,7,1
76,43,34,1192,3,0
84,43,96,1179,7,1
89,44,57,777,6,1
60,27,74,1321,4,0
70,32,64,1444,9,1
71,40,42,944,0,0
87,32,33,1191,4,0
86,36,84,915,5,1
77,26,73,1254,5,0
94,38,94,1607,10,1
78,35,66,1509,4,1
86,28,66,553,9,1
88,43,57,867,5,0
80,28,36,942,3,0
90,38,75,1372,2,1
78,42,60,1093,6,1
81,35,64,1121,4,0
82,34,66,743,6,1
87,41,85,1585,3,1
93,43,61,1262,11,1
74,34,52,530,5,0
69,31,63,1545,6,1
87,28,95,775,8,1
63,30,68,1238,2,0
81,44,65,892,5,0
86,24,58,997,8,0
66,30,58,1635,5,0
74,26,46,1061,4,0
78,29,54,1070,5,0
80,35,66,1100,7,1
81,34,43,1211,8,0
84,32,60,1501,3,1
87,35,43,1435,9,1
67,36,49,1262,9,0
92,25,56,1501,6,1
79,35,63,1163,13,0
77,30,61,1408,8,1
90,31,86,1406,6,1
76,31,84,1252,8,1
73,27,60,1209,2,0
65,23,60,1373,1,0
92,34,50,1090,6,0
66,37,90,1720,4,1
70,31,83,1242,5,1
63,26,47,1403,6,0
78,37,62,674,8,0
65,42,86,1370,3,1
91,34,57,1319,10,1
75,45,56,1305,9,1
71,33,80,1756,7,1
84,36,53,1266,10,1
72,34,100,1324,5,1
80,39,69,1264,3,1
89,37,56,1429,7,1
74,40,20,817,8,0
78,36,77,638,7,1
75,40,41,1174,5,0
78,40,69,1527,6,1
107,33,69,739,6,1
63,32,72,1253,5,0
89,23,38,1111,7,0
82,42,52,520,5,0
75,36,72,1199,8,0
90,29,73,884,10,1
92,38,88,611,10,1
73,45,51,1751,6,0
80,38,40,1037,9,0
76,39,37,1468,8,0
85,41,65,901,6,1
83,37,81,1491,9,1
81,42,55,1088,2,0
85,31,53,1241,8,0
85,34,77,1350,3,1
94,25,64,994,2,0
74,33,59,790,6,0
80,34,55,1233,2,1
102,32,65,882,7,0
76,33,58,965,9,0
92,24,72,1309,6,1
73,34,50,1157,6,0
87,41,67,930,4,1
80,40,50,855,8,0
85,34,42,1106,1,0
79,39,76,2067,2,1
92,33,61,701,2,0
81,39,52,1045,10,0
80,37,44,994,3,0
85,34,56,1172,6,1
75,24,83,1257,5,1
61,22,67,1045,5,0
68,38,81,1010,1,0
75,29,74,1566,8,1
96,39,84,1053,1,1
101,47,66,1231,4,1
69,39,77,434,4,0
82,33,35,661,9,0
75,41,69,1188,6,1
83,44,30,854,9,0
70,35,78,1056,3,0
84,42,108,1401,9,1
74,36,59,1333,5,0
71,38,88,1127,6,0
75,28,78,494,4,1
64,33,59,1459,7,0
87,30,55,1116,11,1
74,33,72,1108,9,0
94,31,66,1222,9,1
88,39,66,1050,6,1
92,28,61,523,8,0
78,30,57,1515,4,1
92,36,48,821,6,0
92,33,38,622,4,0
78,31,62,1494,6,1
82,42,69,1128,12,1
94,33,39,1279,6,1
83,43,51,709,5,0
75,28,36,1266,1,0
90,17,76,1344,8,1
92,35,81,1836,2,1
73,35,54,874,8,0
85,44,61,547,6,0
81,29,69,726,3,0
91,36,59,912,3,0
75,28,72,1909,8,1
93,37,93,910,8,1
89,41,80,1519,7,1
78,36,77,1299,10,1
76,30,94,790,9,1
71,37,42,1291,5,0
93,44,69,1010,5,1
73,40,36,802,8,0
79,31,92,1693,6,1
98,27,75,795,8,0
88,35,62,1121,8,1
84,40,56,1445,4,1
83,36,54,974,8,0
79,30,59,1379,5,0
69,30,37,1157,11,0
86,39,55,842,6,1
71,34,54,1762,2,1
100,27,49,1432,9,1
67,30,54,1662,4,1
79,38,59,1433,10,0
81,37,67,1174,10,0
76,32,77,1051,2,0
81,38,57,613,4,0
87,33,30,984,13,0
94,27,60,1334,7,0
83,40,50,928,6,1
81,33,63,954,7,0
84,32,39,1309,6,0
82,46,49,1305,7,1
75,42,49,617,5,0
81,37,68,796,6,1
92,26,49,785,10,0
82,40,49,698,3,0
81,35,57,1393,5,1
80,31,67,1307,4,0
86,24,50,1508,10,1
85,46,37,835,5,0
85,27,46,868,4,0
78,43,62,636,2,0
61,36,67,1840,6,1
76,28,86,1099,9,0
81,38,42,709,3,0
73,30,49,569,6,0
87,29,76,868,4,0
73,34,49,883,2,0
62,33,68,1233,8,0
88,29,74,1554,9,1
79,35,59,1141,8,1
81,38,74,1208,4,1
66,41,90,1000,5,1
78,29,74,1536,10,1
80,33,73,1191,6,1
82,27,86,1020,5,1
89,42,84,1997,2,1
76,42,88,851,0,1
79,32,54,1325,6,0
96,44,59,845,8,1
80,31,52,1112,2,0
94,31,57,824,9,0
66,31,41,1497,7,0
80,35,45,1033,9,0
92,36,60,1182,10,1
87,33,35,1544,8,1
94,38,52,1563,13,1
78,38,43,1260,6,0
82,44,78,780,5,1
61,31,81,486,4,0
69,40,71,1035,10,1
86,35,74,852,8,1
76,40,86,1303,4,1
88,39,76,614,8,1
78,23,71,1338,7,0
86,38,37,450,1,0
74,27,34,1098,10,0
72,39,63,1546,4,1
90,37,79,1093,2,1
86,34,66,1093,8,1
81,40,66,1625,8,1
88,38,43,448,8,0
89,43,52,1144,9,1
91,28,87,1657,9,1
78,40,57,817,8,1
75,31,58,1207,4,0
82,35,48,1292,4,1
84,34,90,1239,10,1
70,35,48,1246,4,0
62,38,75,1637,4,1
85,34,39,603,4,0
92,27,30,1400,5,0
82,48,65,1584,9,1
79,36,55,1540,7,1
83,34,81,1092,4,1
83,41,74,1127,9,1
72,33,83,902,5,0
83,32,62,1283,4,0
91,46,61,1118,8,1
85,33,60,1003,9,1
80,46,101,846,9,1
88,49,55,1049,4,1
86,28,84,1867,5,1
72,26,33,824,1,0
92,35,28,654,0,0
88,42,62,1098,3,0
84,31,48,719,4,0
85,32,26,340,7,0
83,27,94,936,5,1
75,43,83,795,0,0
87,30,82,1061,7,1
81,29,66,1036,6,0
91,41,77,1308,8,1
77,40,50,620,8,0
75,36,68,968,0,0
74,29,69,926,9,0
90,33,87,953,3,1
81,31,75,1585,6,1
76,33,51,1623,8,0
70,42,50,1140,9,0
103,38,91,1226,8,1
82,27,49,1313,6,1
76,26,48,1351,7,0
77,37,68,1388,11,1
91,38,36,716,8,0
79,31,39,1278,3,0
72,29,76,1408,3,0
80,25,73,587,9,0
95,40,71,1065,5,1
92,38,103,482,9,1
92,38,76,416,7,1
75,38,82,978,4,1
69,32,45,1389,2,0
78,36,58,1503,6,1
77,32,47,1156,6,1
81,32,68,708,6,0
89,22,70,1399,2,1
76,34,56,893,5,0
74,38,63,1081,7,1
72,40,75,1049,3,0
87,28,69,1512,5,0
85,45,74,1594,8,1
89,43,61,1283,5,1
70,30,51,1416,9,0
77,31,46,1091,5,0
92,40,48,740,7,0
84,34,73,1065,10,1
91,32,71,1486,9,0
89,31,59,1047,10,0
87,33,65,942,3,0
76,42,37,997,7,0
80,32,65,776,8,0
84,34,68,1385,8,1
101,41,47,1620,6,1
87,44,71,834,10,1
80,33,46,1292,6,0
83,31,73,626,7,0
85,37,65,1429,7,1
79,39,78,1056,6,0
87,29,77,824,6,0
90,50,88,912,10,1
102,31,56,998,9,1
94,40,77,1211,12,1
84,30,58,760,6,0
76,40,64,940,4,1
71,47,62,715,5,0
90,32,49,1391,4,1
92,24,67,1206,9,0
94,38,84,1293,3,0
84,35,59,955,3,0
81,25,82,1702,5,1
80,45,20,870,0,0
88,32,91,798,5,1
63,28,44,1339,5,0
66,46,71,696,0,0
60,36,87,1467,10,1
77,38,39,1226,4,1
80,38,70,1231,8,1
91,48,86,1464,13,1
81,36,65,1515,5,1
86,28,62,1185,3,1
80,18,64,1213,8,0
77,32,68,900,6,0
72,45,73,368,7,0
83,31,73,969,4,0
81,31,53,537,3,0
72,44,56,1032,7,1
76,38,79,1553,5,1
72,32,88,1051,7,1
74,37,62,1286,4,1
92,35,58,1007,1,0
84,38,71,1186,2,1
86,35,80,1049,8,1
73,36,66,1471,9,1
76,28,66,1142,6,0
91,40,79,474,4,1
75,38,72,799,6,0
76,39,82,1007,3,1
87,39,65,770,3,0
91,35,60,1162,6,1
92,33,59,959,9,1
83,16,44,492,7,0
76,36,73,1342,8,1
84,17,55,1017,5,0
85,37,89,881,8,1
79,39,48,1129,5,0
79,39,63,1065,11,1
88,34,50,719,7,0
98,40,63,1023,6,1
67,43,46,696,14,0
81,33,46,1779,13,1
67,34,61,1081,3,0
82,43,73,1208,9,1
78,36,90,1474,12,1
98,49,88,1596,7,1
86,33,43,992,2,0
72,37,58,1613,4,1
94,30,97,369,3,1
68,37,54,1494,8,1
87,32,59,1750,8,1
97,25,54,1266,3,0
84,23,73,1287,8,1
87,37,80,1289,3,1
86,30,66,789,7,0
80,34,52,930,4,0
84,34,78,1066,9,1
68,32,66,1523,6,1
86,45,41,1397,8,1
75,33,48,1386,2,0
89,31,84,1312,9,1
79,29,87,1197,3,1
80,40,63,1150,7,1
79,32,77,927,10,1
74,42,79,912,5,1
86,38,58,1266,10,1
79,32,59,1626,6,1
72,37,71,1098,9,1
77,38,76,1559,11,1
80,30,47,1245,8,0
85,36,59,769,9,0
83,37,76,993,13,1
77,35,89,1428,10,1
84,39,59,1103,3,1
100,34,51,961,7,1
79,44,55,1182,7,0
57,50,56,1093,3,0
71,32,61,1027,5,0
75,23,41,594,0,0
91,37,76,1037,1,0
92,38,28,971,8,0
77,36,36,1277,5,0
83,27,53,1245,5,0
80,37,73,1083,5,0
70,40,50,1827,4,1
82,30,69,1323,4,0
84,46,64,1276,8,1
72,30,35,445,5,0
83,40,84,459,10,1
91,34,61,1393,3,1
66,26,64,694,8,0
83,35,39,811,8,0
88,34,61,818,5,0
90,51,78,1346,3,1
71,42,59,1308,9,0
78,47,49,1235,9,1
81,44,62,1271,9,1
90,35,63,745,8,1
98,31,78,1094,7,1
83,46,82,1867,5,1
92,28,83,821,10,1
80,35,64,523,12,0
78,31,93,736,9,1
90,39,30,844,11,0
95,47,74,980,1,1
97,34,58,1207,6,1
75,29,34,1229,5,0
72,41,47,1029,3,0
95,25,67,1138,0,1
63,37,67,1027,8,0
79,31,57,752,9,0
76,38,67,1146,4,0
93,38,54,1439,5,1
82,29,75,1551,4,1
86,47,69,705,3,1
83,44,45,1273,5,1
79,30,66,1011,12,0
86,28,77,953,5,1
73,33,51,898,7,0
72,27,40,1305,7,0
77,29,55,804,5,0
79,41,74,495,8,1
75,35,56,891,6,0
82,40,75,1521,8,1
100,48,37,973,5,0
79,34,47,1154,3,0
89,32,71,1001,6,0
78,35,68,1474,8,1
91,41,59,1268,3,1
71,36,52,1923,1,1
89,24,78,1338,7,1
84,31,59,644,5,0
85,26,90,1100,5,0
70,29,63,1616,5,1
77,26,64,505,3,0
93,38,55,1720,11,1
68,40,82,1073,0,0
78,34,41,876,6,0
85,29,76,823,5,1
98,36,57,1017,8,1
91,35,43,1100,7,1
93,29,67,829,7,0
77,30,49,969,2,0
83,34,85,1598,2,1
75,33,54,798,7,0
78,31,44,1080,5,0
82,35,42,1361,5,0
74,35,89,1635,9,1
92,39,67,999,7,1
81,42,55,1166,1,1
78,33,75,723,9,0
73,37,62,1168,4,0
92,39,62,1228,5,1
87,24,80,1190,5,0
78,35,76,983,12,1
71,33,36,1175,9,0
88,37,64,545,12,1
80,47,78,1430,7,1
89,33,69,629,6,1
81,40,66,735,9,1
93,41,28,567,7,0
80,38,81,859,5,0
